Date_dd_mm_yyyy,Distance_mm,Height_cm
05032021,183.1,7.5
05032021,183.285,7.501
05032021,183.475,7.505
05032021,183.66,7.5
05032021,183.85,7.5
05032021,184.04,7.5
05032021,184.225,7.5
05032021,184.415,7.5
05032021,184.6,7.502
05032021,184.79,7.509
05032021,184.98,7.505
05032021,185.165,7.504
05032021,185.355,7.501
05032021,185.54,7.505
05032021,185.73,7.51
05032021,185.92,7.508
05032021,186.105,7.501
05032021,186.295,7.505
05032021,186.48,7.5
05032021,186.67,7.5
05032021,186.86,7.502
05032021,187.045,7.509
05032021,187.235,7.505
05032021,187.42,7.504
05032021,187.61,7.502
05032021,187.8,7.509
05032021,187.985,7.5
05032021,188.175,7.501
05032021,188.36,7.506
05032021,188.55,7.507
05032021,188.74,7.5
05032021,188.925,7.5
05032021,189.115,7.501
05032021,189.3,7.504
05032021,189.49,7.5
05032021,189.68,7.5
05032021,189.865,7.5
05032021,190.055,7.5
05032021,190.24,7.5
05032021,190.43,7.5
05032021,190.62,7.5
05032021,190.805,7.5
05032021,190.995,7.5
05032021,191.18,7.5
05032021,191.37,7.5
05032021,191.56,7.5
05032021,191.745,7.5
05032021,191.935,7.501
05032021,192.12,7.505
05032021,192.31,7.504
05032021,192.5,7.503
05032021,192.685,7.508
05032021,192.875,7.5
05032021,193.06,7.5
05032021,193.25,7.5
05032021,193.44,7.5
05032021,193.625,7.5
05032021,193.815,7.501
05032021,194,7.503
05032021,194.19,7.502
05032021,194.38,7.508
05032021,194.565,7.505
05032021,194.755,7.505
05032021,194.94,7.506
05032021,195.13,7.511
05032021,195.32,7.515
05032021,195.505,7.515
05032021,195.695,7.516
05032021,195.88,7.52
05032021,196.07,7.52
05032021,196.26,7.521
05032021,196.445,7.524
05032021,196.635,7.526
05032021,196.82,7.529
05032021,197.01,7.539
05032021,197.2,7.539
05032021,197.385,7.539
05032021,197.575,7.54
05032021,197.76,7.544
05032021,197.95,7.544
05032021,198.14,7.546
05032021,198.325,7.549
05032021,198.515,7.548
05032021,198.7,7.545
05032021,198.89,7.549
05032021,199.08,7.554
05032021,199.265,7.554
05032021,199.455,7.554
05032021,199.64,7.554
05032021,199.83,7.554
05032021,200.02,7.555
05032021,200.205,7.559
05032021,200.395,7.559
05032021,200.58,7.559
05032021,200.77,7.559
05032021,200.96,7.563
05032021,201.145,7.563
05032021,201.335,7.563
05032021,201.52,7.564
05032021,201.71,7.572
05032021,201.9,7.568
05032021,202.085,7.568
05032021,202.275,7.569
