Sample_ID,Region,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,W,Hg,Pb,Bi,Th,U
27,Faroes,7185,0,382,7447,18169,9889,1338,246,0,0,64,44,0,0,5,32,0,0,2,7,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0,37,9
27,Faroes,5925,524,367,7407,18208,9941,1365,280,0,0,64,43,0,0,5,31,0,0,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9
29,Faroes,4791,0,409,7069,17356,9715,1040,321,0,0,82,52,0,0,6,32,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10
29,Faroes,5208,489,392,7063,17349,9642,1023,336,0,0,83,50,4,0,6,31,0,0,2,6,0,0,0,2,0,0,0,0,21,31,0,0,0,0,0,0,0,36,10
29,Faroes,4976,0,482,7051,17264,9618,1006,324,0,0,85,47,0,0,6,31,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10
30,Faroes,4354,824,388,6726,19610,10120,1003,123,0,0,84,47,0,0,8,29,0,0,2,5,0,0,0,2,0,0,0,0,19,31,0,0,0,0,0,0,0,36,11
30,Faroes,4259,0,365,6725,19752,10241,961,101,0,0,81,48,0,0,7,28,0,0,2,6,0,0,0,1,0,0,0,0,21,0,37,59,0,0,0,0,0,40,10
30,Faroes,3627,0,512,6687,20094,10235,972,131,0,0,82,46,0,0,6,30,0,0,2,6,0,0,0,0,0,0,0,0,0,0,42,0,79,0,0,0,0,38,10
31,Faroes,7264,0,412,6695,17631,9929,808,265,0,0,87,45,0,0,5,30,0,0,2,6,0,0,0,3,0,0,0,0,0,0,0,59,0,0,0,0,0,42,10
31,Faroes,6447,0,341,6718,17524,9878,790,258,0,0,79,44,4,0,5,31,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11
31,Faroes,5014,493,464,6741,17540,9953,808,288,0,0,83,46,0,0,6,31,0,0,1,6,0,0,0,2,0,0,0,0,20,26,0,0,0,0,0,0,0,39,11
32,Faroes,4760,0,413,6821,17835,8514,1113,459,0,0,115,54,0,0,8,31,0,0,1,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,39,10
32,Faroes,4679,0,448,6857,17437,8540,1139,462,0,0,108,59,0,0,7,31,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10
32,Faroes,5493,0,363,6880,17557,8614,1137,447,0,0,114,58,0,0,8,31,0,0,1,4,0,0,0,2,0,0,0,0,0,27,0,63,78,0,0,0,0,37,11
33,Faroes,4488,681,345,7235,17051,9898,1090,678,0,0,77,49,4,0,5,37,0,0,2,7,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,39,9
33,Faroes,6156,0,373,7265,17324,9822,1099,699,0,0,81,47,0,0,4,36,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9
33,Faroes,6208,0,447,7191,17336,9931,1094,692,0,0,78,47,0,0,4,36,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
34,Faroes,4518,0,352,6772,17938,9712,845,468,0,0,76,54,0,0,4,32,0,0,2,6,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,37,9
34,Faroes,3707,638,314,6734,17946,9655,865,431,0,0,81,56,0,0,4,33,0,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9
34,Faroes,5055,547,438,6785,17964,9701,840,417,0,0,81,54,0,0,6,33,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10
35,Faroes,5383,617,373,7718,18066,9997,1087,192,0,0,78,55,0,0,4,32,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10
35,Faroes,4628,0,402,7738,18148,10038,1071,173,0,0,83,54,3,0,4,34,0,0,2,6,0,0,0,2,0,0,0,0,0,0,34,0,0,0,0,0,0,37,11
35,Faroes,0,0,483,7741,18220,10018,1105,208,0,0,74,59,0,0,3,32,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10
73,Irish,0,824,754,7318,10079,13583,1211,91,0,0,107,80,4,0,9,29,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8
73,Irish,4634,821,644,7409,10001,13580,1178,87,0,0,106,81,0,0,6,29,0,0,2,4,0,0,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,33,7
73,Irish,3465,821,707,7394,10006,13538,1169,71,0,0,106,83,0,0,7,30,0,0,2,3,0,0,0,2,0,0,0,0,28,33,0,0,0,0,0,0,0,33,6
84,Irish,4187,574,518,7584,12092,14739,705,100,0,0,99,56,0,0,5,18,2,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7
84,Irish,0,601,572,7528,12095,14688,733,85,0,0,108,55,3,0,7,20,2,0,1,4,0,0,0,2,0,0,0,0,31,32,0,0,0,0,0,0,0,34,6
84,Irish,0,520,548,7574,12077,14786,708,103,0,0,106,52,0,0,7,19,2,0,1,3,0,0,0,2,0,0,0,0,21,0,0,0,93,0,0,0,0,34,8
106,Irish,4333,859,626,7944,12318,14541,1056,87,0,0,98,63,0,0,5,23,1,0,2,4,0,0,0,3,0,0,0,0,0,0,0,88,132,0,0,0,0,34,7
106,Irish,5310,0,593,7967,12199,14553,1054,94,0,0,104,62,0,0,5,22,1,0,2,4,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,0,33,7
106,Irish,3284,601,646,7870,12180,14531,1035,93,0,0,100,62,3,0,6,23,1,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7
120,North,0,0,262,10873,16692,26057,416,113,0,0,55,74,0,0,3,22,6,0,2,3,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,36,7
120,North,0,0,338,10832,16559,25880,441,93,0,0,56,81,0,0,4,23,5,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7
120,North,3364,0,308,10798,16684,26055,446,95,0,0,59,76,4,0,5,24,6,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7
141,North,4320,0,292,11753,18747,29230,557,257,0,0,96,77,0,0,6,31,5,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10
141,North,0,0,298,11791,18831,29249,550,283,0,0,96,77,0,0,5,31,5,0,2,6,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,41,11
141,North,3588,0,255,11744,18781,29165,534,271,0,0,96,77,4,0,5,31,5,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10
141,North,0,0,305,11361,18061,27912,539,235,0,0,98,81,4,0,5,31,5,0,2,5,0,0,0,6,0,0,0,0,0,28,0,0,0,0,0,0,0,39,10
141,North,3615,0,206,11474,18129,27989,592,230,0,0,94,77,0,0,5,31,4,0,2,6,0,0,0,5,0,0,0,0,0,28,49,86,0,0,0,0,0,40,10
